0, 1287, 1562, 75, 2091, 2623, 1242, 1002, 1475, 1503
1287, 0, 2200, 1283, 1663, 2184, 1376, 1421, 782, 324
1562, 2200, 0, 1637, 1561, 1866, 891, 779, 2782, 2180
75, 1283, 1637, 0, 2148, 2683, 1309, 1074, 1431, 1512
2091, 1663, 1561, 2148, 0, 550, 926, 1231, 2445, 1419
2623, 2184, 1866, 2683, 550, 0, 1415, 1712, 2967, 1917
1242, 1376, 891, 1309, 926, 1415, 0, 305, 2055, 1307
1002, 1421, 779, 1074, 1231, 1712, 305, 0, 2019, 1421
1475, 782, 2782, 1431, 2445, 2967, 2055, 2019, 0, 1067
1503, 324, 2180, 1512, 1419, 1917, 1307, 1421, 1067, 0
